라카,54,188
다바,90,168
카파,74,155
라파,72,143
파파,50,192
나마,85,170
카타,61,177
카마,94,166
나라,64,155
아자,95,179
차타,67,190
사가,58,183
카차,58,157
바카,40,169
다나,80,182
마파,62,172
자하,51,172
라사,72,183
자하,42,180
파다,55,149
파자,72,178
자자,97,149
바나,42,150
가파,75,151
타라,50,150
바차,59,141
나하,50,179
가자,76,157
다바,67,159
라아,58,148
바하,62,175
자가,76,199
아하,82,159
파파,65,178
라파,94,163
다마,96,142
하바,53,171
라자,94,143
카바,71,174
아가,84,142
가차,82,150
파파,53,140
가자,40,160
라사,78,144
바나,93,186
사파,85,146
사라,42,173
파사,48,150
바바,74,198
마파,67,159
바카,89,143
사하,88,165
카바,58,182
아차,74,176
파마,45,154
사바,48,167
마다,71,153
다가,85,179
사카,63,163
나파,51,165
타나,58,145
라라,84,149
마카,76,199
사타,68,142
카자,48,182
다가,68,182
파다,86,199
라타,85,185
차마,68,177
카파,65,161
자라,88,162
하자,81,155
나차,43,167
바나,47,143
타사,69,177
아사,81,145
마가,92,142
하아,40,199
다파,52,185
차다,87,157
파나,93,143
타나,99,196
나차,50,188
아하,59,170
사타,94,198
하바,41,179
타타,65,190
다타,57,142
마아,66,176
사바,62,148
마바,69,187
파다,80,160
사가,66,164
사타,48,143
나사,65,195
아타,42,199
카라,79,180
차파,96,191
라하,41,199
바하,89,159
차다,71,156
사마,43,179
가타,57,191
다카,45,160
사마,49,186
하차,47,198
사아,99,149
라다,85,160
타라,53,199
가차,79,151
사타,65,180
나사,43,146
자카,81,198
자하,69,170
아하,69,156
자아,85,144
사아,60,154
파사,80,189
라자,87,184
나차,80,167
바아,74,166
하다,97,192
사라,45,158
차라,45,140
아나,60,154
라바,78,199
차하,95,187
파자,71,140
라자,83,180
아차,59,177
다나,83,192
라파,47,143
나하,82,193
라아,66,174
하타,54,156
카카,48,168
아다,90,160
나파,87,163
타하,56,177
자카,56,176
나카,77,194
카라,93,153
가나,59,157
바차,67,157
바바,85,191
타자,72,156
라가,78,198
다가,71,196
라하,43,171
차나,44,159
다자,58,148
바자,56,146
가사,43,153
사나,59,147
가차,65,145
나라,90,153
바가,43,154
아마,68,180
자가,97,177
타라,89,180
카하,95,194
나파,52,179
사카,95,168
카파,89,193
다파,95,151
차다,44,158
타사,63,183
타마,53,149
카사,74,146
하하,64,182
바카,56,190
라카,47,167
자다,70,192
마하,41,187
마사,57,162
가파,78,145
자마,85,144
사차,59,198
파마,55,154
가타,65,145
라하,79,161
바자,43,146
아파,54,168
나타,91,151
바마,93,160
카라,90,163
카나,83,180
아나,97,146
라파,51,151
마아,79,153
마바,73,151
가하,79,169
가가,64,178
바라,53,187
사파,99,177
바마,64,154
하사,77,140
자가,70,157
가나,74,181
타사,96,186
타나,76,196
가카,40,179
가차,98,147
자가,80,184
가아,72,186
마라,77,142
가나,92,175
아라,72,186
라마,45,160
바다,66,184
라차,53,176
마마,68,156
바마,97,140
자자,46,174
바자,53,155
나아,93,185
자타,44,194
사차,85,168
사자,66,148
사마,65,149
자카,99,142
타하,40,192
파마,84,144
다카,55,158
카다,51,154
자나,92,198
파자,92,142
차라,86,194
라하,88,178
마다,51,147
카아,68,162
사가,46,149
가타,89,182
사라,55,197
하나,82,176
자하,52,183
가타,82,153
하라,77,176
사라,42,147
타아,44,146
가다,60,193
라파,56,177
카마,48,174
가자,82,156
사아,91,152
하차,46,185
